# Financial-Health-gap verification set
# 13 charities whose Financial Health component scored 0/7 with evidence
# "Working capital: unknown (UNKNOWN)" purely because Charity Navigator
# doesn't publish a working-capital metric for them — not because the data
# is actually missing. See commit 1707013 on this branch.
# Format: Name | EIN | URL | Comments
Institute for Understanding Anti-Palestinian Racism | 99-3032347 | https://antipalestinianracism.org |
Al-Barr Foundation | 85-3964369 | https://www.albarr.org | Shelter/food, zakat-accepting
Afghan Refugee Relief | 93-1556038 | https://afghanrefugeerelief.org |
National Association of Muslim Charitable Clinics | 93-2136609 | https://naomcc.org |
MCA | 31-1267559 | https://www.mcabayarea.org |
MCC East Bay | 20-8085421 | https://mcceastbay.org |
Islamic Society of Greater Houston | 23-7065716 | https://isgh.org |
International Institute of Islamic Thought | 23-2202414 | https://iiit.org |
The Islamic Society of Southern California | 83-0668931 | https://isodla.org |
Rebuilding Alliance | 56-2392452 | https://www.rebuildingalliance.org/ | Seema Khala's charity
Against Malaria Foundation | 20-3069841 | https://www.againstmalaria.com  | HIDE: TRUE | 91% CN, GiveWell top charity
Humaniti | 92-3079413| https://humanitifoundation.org/ | Abba's charity
Ta'leef Collective | 72-1528691 | https://taleefcollective.org |
