Rank,Charity,EIN,Wallet Tag,AMAL Score,Trust,Verification Tier,Verification Pts,Data Quality,DQ Pts,Transparency,Transp Pts,Evidence,Evidence Grade,Grade Pts,Outcome Measurement,Outcome Pts,Theory of Change,ToC Pts,Effectiveness,Program Efficiency,Efficiency Pts,Cost Effectiveness,Cost Pts,Financial Health,Fin Health Pts,Fit,Counterfactual,Counter Pts,Cause Importance,Cause Imp Pts,Neglectedness,Neglect Pts,Risk Deduction
1,The Citizens Foundation USA,41-2046295,ZAKAT-ELIGIBLE,98,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,0
2,Sadagaat,47-2864379,ZAKAT-ELIGIBLE,98,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
3,MedGlobal,82-2517347,ZAKAT-ELIGIBLE,98,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,COMPREHENSIVE,10,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
4,ICNA Relief,04-3810161,ZAKAT-ELIGIBLE,97,25,HIGH,10,HIGH,8,PLATINUM,7,22,B,8,COMPREHENSIVE,10,DOCUMENTED,4,25,EXCEPTIONAL,10,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
5,Developments in Literacy,33-0843213,ZAKAT-ELIGIBLE,97,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,22,EXCEPTIONAL,10,EXCELLENT,10,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
6,SIUT,76-0656947,ZAKAT-ELIGIBLE,96,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,23,ABOVE_AVERAGE,8,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
7,Iqra Fund,45-2751655,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,22,EXCEPTIONAL,10,GOOD,8,COMFORTABLE,4,23,HIGH,10,HIGH,7,MUSLIM_FOCUSED,6,0
8,Transparent Hands USA,47-3564801,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,COMPREHENSIVE,10,DOCUMENTED,4,20,AVERAGE,5,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
9,Penny Appeal USA,47-5165837,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,20,AVERAGE,5,EXCELLENT,10,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
10,PALESTINE CHILDRENS RELIEF FUND,93-1057665,ZAKAT-ELIGIBLE,93,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,18,EXCEPTIONAL,10,AVERAGE,6,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
11,Indus Hospital,20-4751162,ZAKAT-ELIGIBLE,92,25,HIGH,10,HIGH,8,PLATINUM,7,21,B,8,STRONG,8,DOCUMENTED,4,21,EXCEPTIONAL,10,AVERAGE,6,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
12,"Baitulmaal, Inc.",20-0942434,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,24,B,8,COMPREHENSIVE,10,DOCUMENTED,4,16,EXCEPTIONAL,10,BELOW_AVERAGE,2,COMFORTABLE,4,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
13,Mercy USA for Aid and Development,38-2846307,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,19,EXCEPTIONAL,10,AVERAGE,6,TIGHT,3,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
14,American Near East Refugee Aid (Anera),52-0882226,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,23,B,8,STRONG,8,DOCUMENTED,4,17,EXCEPTIONAL,10,BELOW_AVERAGE,2,HEALTHY,5,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
15,Islamic Relief USA,95-4453134,ZAKAT-ELIGIBLE,90,25,HIGH,10,HIGH,8,PLATINUM,7,25,B,8,COMPREHENSIVE,10,DOCUMENTED,4,15,ABOVE_AVERAGE,8,AVERAGE,5,EXCESSIVE,2,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,0
16,Pure Hands,45-4810098,ZAKAT-ELIGIBLE,89,25,HIGH,10,HIGH,8,PLATINUM,7,18,C,6,STRONG,8,DOCUMENTED,4,23,EXCEPTIONAL,10,EXCELLENT,10,TIGHT,3,25,HIGH,10,HIGH,9,MUSLIM_FOCUSED,6,-2
