Rank,Charity,EIN,Wallet Tag,Strategic Score,Archetype,Archetype Label,Resilience,Loop Breaking Raw,Loop Breaking Pts,Leverage,Multiplier Raw,Multiplier Pts,Future-Proofing,Asset Creation Raw,Asset Creation Pts,Sovereignty Raw,Sovereignty Pts,Competence,Verif Contribution,ToC Contribution,Outcome Contribution,Grade Contribution
1,The Citizens Foundation USA,41-2046295,ZAKAT-ELIGIBLE,81,RESILIENCE,Cycle Breaker,24,8,24,18,7,18,20,9,14,6,6,19,8,4,4,3
2,Project South,58-1956686,SADAQAH-ELIGIBLE,76,SOVEREIGNTY,,21,7,21,20,8,20,15,4,6,9,9,20,8,,,
3,Helen Keller International,13-5562162,SADAQAH-ELIGIBLE,75,RESILIENCE,Cycle Breaker,24,8,24,18,7,18,14,5,8,6,6,19,8,4,4,3
4,Rainforest Alliance,13-3377893,SADAQAH-ELIGIBLE,74,LEVERAGE,Force Multiplier,21,7,21,22,9,22,13,4,6,7,7,18,8,4,4,2
5,Islamic Scholarship Fund (ISF),20-8540050,ZAKAT-ELIGIBLE,74,SOVEREIGNTY,Institution Builder,21,7,21,20,8,20,15,4,6,9,9,18,8,4,4,2
6,"GiveDirectly, Inc",27-1661997,SADAQAH-ELIGIBLE,74,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,17,5,8,9,9,18,8,4,3,3
7,Iqra Fund,45-2751655,ZAKAT-ELIGIBLE,74,RESILIENCE,Cycle Breaker,24,8,24,18,7,18,14,5,8,6,6,18,8,4,3,3
8,Oxfam America,23-7069110,SADAQAH-ELIGIBLE,73,LEVERAGE,Force Multiplier,21,7,21,22,9,22,11,3,4,7,7,19,8,4,4,3
9,BASMAH,82-1670588,ZAKAT-ELIGIBLE,73,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,16,7,10,6,6,18,8,4,3,3
10,Developments in Literacy,33-0843213,ZAKAT-ELIGIBLE,72,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,14,5,8,6,6,19,8,4,4,3
11,American Near East Refugee Aid (Anera),52-0882226,ZAKAT-ELIGIBLE,72,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,15,5,8,7,7,18,8,4,3,3
12,Islamic Services Foundation,75-2352043,ZAKAT-ELIGIBLE,72,ASSET_CREATION,Asset Creator,21,7,21,15,6,15,21,9,14,7,7,15,8,4,1,2
13,CARE USA,13-1685039,SADAQAH-ELIGIBLE,71,SOVEREIGNTY,Institution Builder,21,7,21,15,6,15,17,5,8,9,9,18,8,4,3,3
14,Islamic Educational Foundation,22-3382037,SADAQAH-ELIGIBLE,71,SOVEREIGNTY,Institution Builder,21,7,21,15,6,15,21,8,12,9,9,14,8,4,0,2
15,Dream.Org,26-1140201,SADAQAH-ELIGIBLE,71,LEVERAGE,Force Multiplier,21,7,21,22,9,22,11,3,4,7,7,17,8,4,3,2
16,Obat Helpers,47-0946122,ZAKAT-ELIGIBLE,71,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,14,5,8,6,6,18,8,4,4,2
17,Habitat for Humanity International,91-1914868,SADAQAH-ELIGIBLE,71,ASSET_CREATION,Asset Creator,21,7,21,15,6,15,21,10,15,6,6,14,8,4,1,1
18,Muslim Legal Fund of America,01-0548371,ZAKAT-ELIGIBLE,70,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,19,8,4,4,3
19,Emgage Foundation,26-1441032,SADAQAH-ELIGIBLE,70,SOVEREIGNTY,Institution Builder,18,6,18,20,8,20,15,4,6,9,9,17,8,4,2,3
20,Bayan Islamic Graduate School,46-2431099,SADAQAH-ELIGIBLE,70,SOVEREIGNTY,Institution Builder,21,7,21,18,7,18,18,6,9,9,9,13,6,4,1,2
21,The Carter Center,58-1454716,SADAQAH-ELIGIBLE,70,SOVEREIGNTY,Institution Builder,21,7,21,20,8,20,15,4,6,9,9,14,8,4,1,1
22,CAIR FOUNDATION INC,77-0646756,ZAKAT-ELIGIBLE,70,LEVERAGE,Force Multiplier,18,6,18,22,9,22,12,3,4,8,8,18,8,4,3,3
