Rank,Charity,EIN,Wallet Tag,Trad Zakat Score,Fiqh Compliance,Wallet Tag Pts,Asnaf Category,Asnaf Clarity Pts,Directness,Program Expense Ratio,Prog Ratio Pts,Beneficiary Proximity Pts,Community Identity,Muslim Fit,Muslim Fit Pts,Islamic Identity Bonus,Speed of Delivery,Cause Area,Cause Speed Pts,Urgency Bonus
1,United Muslim Relief,27-3175543,ZAKAT-ELIGIBLE,99,35,20,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,25,96.5%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
2,Zakat Foundation of America,36-4476244,ZAKAT-ELIGIBLE,99,35,20,"fuqara, masakin, fisabilillah, ibn_sabil",15,25,91.6%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
3,"Baitulmaal, Inc.",20-0942434,ZAKAT-ELIGIBLE,98,34,20,"fuqara, masakin, riqab",14,25,93.6%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
4,Helping Hand for Relief and Development,31-1628040,ZAKAT-ELIGIBLE,98,34,20,"fuqara, masakin, ibn_sabil",14,25,91.2%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
5,ICNA Relief,04-3810161,ZAKAT-ELIGIBLE,96,30,20,fuqara,10,25,93.7%,15,10,23,high,20,3,18,HUMANITARIAN,18,
6,Mercy USA for Aid and Development,38-2846307,ZAKAT-ELIGIBLE,96,32,20,"fuqara, masakin",12,25,96.3%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
7,The Mecca Center,84-5191730,ZAKAT-ELIGIBLE,96,32,20,"fuqara, masakin",12,25,91.1%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
8,Islamic Relief USA,95-4453134,ZAKAT-ELIGIBLE,96,34,20,"fuqara, masakin, ibn_sabil",14,22,80.3%,12,10,22,high,20,2,18,HUMANITARIAN,18,0
9,Hidaya Foundation,77-0502583,ZAKAT-ELIGIBLE,94,30,20,fuqara,10,25,95.0%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
10,Texas Muslim Womens Foundation Inc,20-3060929,ZAKAT-ELIGIBLE,93,32,20,"fuqara, masakin",12,22,86.0%,12,10,21,high,20,1,18,HUMANITARIAN,18,0
11,Penny Appeal USA,47-5165837,ZAKAT-ELIGIBLE,93,35,20,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,19,74.3%,9,10,21,high,20,1,18,HUMANITARIAN,18,0
12,The Hassan Foundation,56-2639095,ZAKAT-ELIGIBLE,93,32,20,"fuqara, masakin",12,22,88.2%,12,10,21,high,20,1,18,HUMANITARIAN,18,0
13,IRUSA Waqf,47-1666091,ZAKAT-ELIGIBLE,90,30,20,amil,10,19,77.2%,9,10,23,high,20,3,18,HUMANITARIAN,18,0
14,Muslim Community Network,75-3163555,ZAKAT-ELIGIBLE,88,35,20,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,17,72.9%,9,8,22,high,20,2,14,DOMESTIC_POVERTY,14,0
15,Inner-City Muslim Action Network,36-4167433,ZAKAT-ELIGIBLE,87,32,20,"fuqara, masakin",12,16,65.9%,6,10,21,high,20,1,18,HUMANITARIAN,18,0
16,American Near East Refugee Aid (Anera),52-0882226,ZAKAT-ELIGIBLE,86,35,20,"fuqara, masakin, gharimin, amil, ibn_sabil",15,25,96.3%,15,10,8,low,5,3,18,HUMANITARIAN,18,0
17,Rahima Foundation,77-0442850,ZAKAT-ELIGIBLE,86,35,20,"fuqara, masakin, gharimin, ibn_sabil",15,25,95.3%,15,10,8,low,5,3,18,HUMANITARIAN,18,0
18,Human Appeal USA,87-2410117,ZAKAT-ELIGIBLE,86,34,20,"fuqara, masakin, amil",14,13,50.3%,3,10,21,high,20,1,18,HUMANITARIAN,18,0
19,Humaniti,92-3079413,ZAKAT-ELIGIBLE,86,35,20,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,25,95.7%,15,10,8,low,5,3,18,HUMANITARIAN,18,0
20,Muslim Aid America,46-2504422,SADAQAH-ELIGIBLE,85,20,5,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,25,93.2%,15,10,22,high,20,2,18,HUMANITARIAN,18,0
21,MCC East Bay,20-8085421,ZAKAT-ELIGIBLE,84,32,20,"fuqara, masakin",12,13,,3,10,21,high,20,1,18,HUMANITARIAN,18,0
22,Pure Hands,45-4810098,ZAKAT-ELIGIBLE,83,32,20,"fuqara, masakin",12,25,98.2%,15,10,8,low,5,3,18,HUMANITARIAN,18,0
23,Sadagaat,47-2864379,ZAKAT-ELIGIBLE,83,32,20,"fuqara, masakin",12,25,98.4%,15,10,8,low,5,3,18,HUMANITARIAN,18,0
24,Heal Palestine,88-2454707,ZAKAT-ELIGIBLE,83,35,20,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,22,88.2%,12,10,8,low,5,3,18,HUMANITARIAN,18,0
25,Muslim Community Center Chicago,23-7060038,ZAKAT-ELIGIBLE,82,34,20,"fuqara, masakin, ibn_sabil",14,19,93.4%,15,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
26,MedGlobal,82-2517347,ZAKAT-ELIGIBLE,82,34,20,"fuqara, masakin, ibn_sabil",14,22,85.9%,12,10,8,low,5,3,18,HUMANITARIAN,18,0
27,Qalam Education Fund,86-1226156,ZAKAT-ELIGIBLE,82,34,20,"fuqara, masakin, fisabilillah",14,17,81.2%,12,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
28,Developments in Literacy,33-0843213,ZAKAT-ELIGIBLE,80,32,20,"fuqara, masakin",12,22,89.8%,12,10,8,low,5,3,18,HUMANITARIAN,18,0
29,Islamic Society of Northwest Suburbs of Chicago,36-3200165,ZAKAT-ELIGIBLE,80,32,20,"fuqara, masakin",12,19,92.5%,15,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
